first_name,last_name,price,above_100
William,Dixon,109.0372796,False
Kristen,Horn,262.5246522,False
Kimberly,Chang,187.0072583,False
Mary,Ball,283.1746476,False
Benjamin,Craig,143.8715817,False
Cathy,Werner,61.50899135,False
Brandon,Bell,48.6373091,False
Paul,Farley,12.38946479,False
Sarah,Mcdaniel,151.5954472,False
Caroline,Anderson,75.62152103,False
Carl,Jones,147.0294047,False
Scott,Lee,244.1856527,False
Kaylee,Coleman,17.86427032,False
Charles,Parker,215.537283,False
Susan,Hess,38.35997063,False
Kiara,Collier,204.1825486,False
Mr.,Scott,165.8514289,False
Christopher,Ortega,30.30144506,False
Michael,Russell,243.1724911,False
Dwayne,Johnson,287.4932856,False
Patty,Smith,180.2344257,False
Deanna,Sherman,99.79911842,False
Douglas,Francis,161.7688908,False
Vicki,Diaz,18.64987672,False
Robin,Phillips,244.9119836,False
Travis,Rice,141.4988254,False
Ashley,Rocha,50.00303731,False
Sarah,Jacobson,80.48182457,False
Kayla,Shannon,98.91531394,False
Sean,Wang,220.6282177,False
Richard,Estrada,49.16869151,False
Joseph,Torres,150.1237842,False
Kim,Jones,18.8434377,False
Melissa,Tanner,269.1840299,False
Jackson,Cline,64.31251721,False
Sonya,Foster,296.2155012,False
Allen,Williams,15.3908317,False
Mr.,Thomas,95.22843716,False
Jamie,Silva,296.8244075,False
Kathleen,Moore,92.50052419,False
Evelyn,Pineda,169.2289293,False
Kyle,Peters,106.7990952,False
Anthony,Cruz,49.10199817,False
Eric,Flores,122.9556986,False
Anna,Richardson,254.4952606,False
Gary,Harper,47.59652592,False
Linda,Johnson,115.3627815,False
Melissa,Smith,87.97994846,False
Kristen,Floyd,135.0230413,False
William,Diaz,192.1491355,False
Benjamin,Smith,134.9052939,False
David,Glenn,216.2910463,False
Dawn,Jones,271.6144999,False
Joel,Smith,14.4949198,False
Mr.,Larry,268.6758682,False
Joseph,Arnold,121.7750468,False
Kyle,Long,241.6216391,False
Brittany,Day,261.5460574,False
Bobby,Ward,63.5130358,False
Thomas,Lee,254.0755771,False
Jennifer,Hansen,101.4887352,False
Lisa,Murray,176.0919174,False
Meghan,Wade,273.2303409,False
Tammie,Brooks,84.88856949,False
Maria,Bell,264.0746652,False
Allison,Livingston,130.3484426,False
Chris,Hays,17.34276379,False
Courtney,Mitchell,78.93257699,False
Shawn,White,188.0219256,False
Taylor,Gomez,225.0198237,False
Jeremy,Rodriguez,200.7248208,False
April,Garcia,66.24555967,False
Zachary,Watts,15.49738786,False
